CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,H101_01,H101_02,H101_03,H101_04,H101_05,H101_06,H101_07,H101_08,H101_09,H101_10,H101_11,H101_12,HS1Mean,S101_01,S102,screentime1,screentime2,screentime3,Screentime1Mean,Group,LASTDATA,STARTED_51,H201_01,H201_02,H201_03,H201_04,H201_05,H201_06,H201_07,H201_08,H201_09,H201_10,H201_11,H201_12,HS2Mean,S202_66,screentime4,screentime5,screentime6,Screentime2Mean,LASTDATA_81
41,,,base,interview,2024-07-14 16:24:34,4,3,2,1,3,2,4,3,3,4,2,3,2.83,66,1,135,75,125,111.67,0,2024-07-14 16:26:36,2024-07-18 23:03:13,5,4,3,1,1,4,4,3,4,4,1,3,3.08,3,128,190,55,124.33,2024-07-18 23:08:03
43,,,base,interview,2024-07-14 18:04:07,5,5,5,2,4,2,4,4,3,4,2,4,3.67,24,2,421,350,131,300.67,0,2024-07-14 18:07:10,2024-07-18 10:52:03,4,5,5,3,4,3,5,4,2,4,1,4,3.67,3,254,265,160,226.33,2024-07-18 10:55:58
51,,,base,interview,2024-07-14 19:50:04,5,4,4,4,4,4,5,3,3,4,2,4,3.83,23,1,27,35,43,35,0,2024-07-14 19:52:28,2024-07-18 11:22:05,3,4,4,3,4,3,4,4,4,4,3,4,3.67,2,76,74,90,80,2024-07-18 11:24:12
55,,,impl,interview,2024-07-14 20:18:20,2,4,3,2,4,4,4,3,3,3,3,4,3.25,26,2,207,118,318,214.33,1,2024-07-14 20:26:19,2024-07-18 14:57:54,3,4,3,2,4,4,4,4,3,2,4,4,3.42,3,88,120,283,163.67,2024-07-18 15:03:39
61,,,impl,interview,2024-07-14 21:39:41,5,5,3,1,2,2,5,1,3,2,2,3,2.3,64,2,177,107,99,127.67,1,2024-07-14 22:11:32,2024-07-18 16:09:49,4,3,3,2,2,3,4,2,4,4,4,4,3.25,2,90,100,45,78.33,2024-07-18 16:12:52
62,,,base,interview,2024-07-14 21:43:50,5,5,4,4,5,4,5,4,5,5,5,5,4.67,28,2,110,96,120,108.67,0,2024-07-14 21:47:50,2024-07-18 08:12:51,5,5,4,4,5,4,5,4,5,4,4,5,4.5,3,105,208,158,157,2024-07-18 08:14:34
63,,,base,interview,2024-07-14 22:36:58,5,5,4,3,4,3,5,5,4,4,1,5,4,27,1,117,87,208,137.33,0,2024-07-14 22:38:56,2024-07-18 09:07:50,5,4,4,1,4,4,5,4,4,3,2,5,3.75,2,127,141,256,146.66,2024-07-18 09:09:21
65,,,impl,interview,2024-07-14 23:01:33,5,4,4,2,4,,5,5,4,4,3,4,4,23,3,540,210,415,388.33,1,2024-07-14 23:08:53,2024-07-18 11:42:26,5,5,4,3,4,3,5,4,3,4,2,3,3.75,3,372,430,366,389.33,2024-07-18 11:45:51
66,,,impl,interview,2024-07-14 23:08:50,5,5,5,5,5,5,5,5,5,5,5,5,5,24,1,197,167,236,200,1,2024-07-14 23:12:50,2024-07-18 12:03:35,4,4,4,4,4,2,4,4,3,4,4,5,3.83,2,149,163,119,143.67,2024-07-18 12:05:34
75,,,base,interview,2024-07-15 00:24:57,5,5,5,1,5,1,5,1,1,5,5,5,3.67,31,2,192,168,226,195.33,0,2024-07-15 00:30:27,2024-07-18 13:38:51,5,5,5,1,5,1,5,1,1,5,1,5,3.33,3,168,282,242,230.67,2024-07-18 13:41:49
81,,,base,interview,2024-07-15 02:44:21,5,2,2,2,2,2,4,3,2,3,2,4,2.75,22,2,180,540,360,360,0,2024-07-15 02:47:15,2024-07-18 22:35:55,4,2,2,2,3,2,3,2,2,2,2,4,2.5,3,540,430,300,423.33,2024-07-18 22:38:04
84,,,impl,interview,2024-07-15 09:29:06,5,5,5,5,5,5,5,5,5,5,5,5,5,25,2,1274,840,840,984.67,1,2024-07-15 09:30:33,2024-07-18 11:15:47,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1211,670,617,832.67,2024-07-18 11:18:00
43,,,base,interview,2024-07-14 18:04:07,5,5,5,2,4,2,4,4,3,4,2,4,3.67,24,2,421,350,131,300.67,0,2024-07-14 18:07:10,2024-07-19 14:39:06,5,4,4,3,4,3,3,2,3,4,3,5,3.58,3,240,480,430,383.33,2024-07-19 14:41:09
